"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","AT","Austria",17.801047120,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","BE","Belgium",20.852359200,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","BG","Bulgaria",40.196078430,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","CZ","Czechia",4.271844660,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","DE","Germany",12.471910110,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","DK","Denmark",0.199600790,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","EL","Greece",49.726775950,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","ES","Spain",29.404900810,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","FI","Finland",1.362397820,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","IE","Ireland",37.964774950,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","IS","Iceland",2.500000000,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","IT","Italy",44.255319140,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","LU","Luxembourg",17.910447760,""
"Antimicrobial resistance","Staphylococcus aureus|Meticillin (MRSA)","R - resistant isolates, percentage  ","%","2000","MT","Malta",35.526315780,""
